ENGLISH,JAPANESE
Hey. I'm glad you made it.,ああ、君が来てくれて、本当にうれしいよ。
My King assures me that the situation in Sayunaa is stable.,王曰く、サユナーの内政は安定しているとのことよ。
"Alright, that's good to hear.\| Is that...",そうか、それは良かった。\|それで...
"\n[8], what is the purpose of your new mission?",ねえ\n[8]、あなたの新しい使命は何なの？
"My role in the Millennium War is over. Zanatus is finally dead.\! I came close to losing myself completely, Narima. I can't face the people of Armitage again...\| not for a while.",ああ、千年戦争は終わった。ザナトゥスは死んだ。\!ナリマ、私は完全に正気を失いかけていた。アーミテージの人々に合わせる顔がないんだ...\|少なくとも今は。
"I find your assessment of the people of this land innaccurate, \n[8]. But, I understand what it is like to keep the demons within under control.",あなたはちょっと、悪く思い込みすぎているわ、\n[8]。まあ、己の中にいる悪魔がいるというのが、とても恐ろしいことなのはわかるけど。
You're probably right. But Zanatus's dying words still haunt me.,思い込みすぎと言えば、そうかもしれない。でも、ザナトゥスの最期の言葉が今も頭から離れないんだ。
That foul deceiver is still manipulating you from the void. You must not give in.,あの卑劣なる詐欺師は、今もあなたを地獄の底から操ろうとしているのよ。そんなのに屈してはいけないわ。
"He may be a manipulator, but I felt no deception in those words. Zanatus's hatred for Donar, and for me, cannot be described.\! He felt a certain peace in his final moments. As though he'd finished his job.\! We have reports that some of the Followers of Zanatus went into exile, far to the East, bound for Grothnor of all places.",確かにやつは、謀略家かもしれない。ザナトゥスの私とドナーに対する憎しみは、言葉では言い表せないものだ。\!でも、その最期の瞬間、まるで心の平安を覚えたかのようだった。まるで果たすべき使命を終えたかのように。まるで果たすべき使命を終えたかのように。\!また、ザナトゥス教団の何人かは逃亡し、はるか東のグロスノーに向かったという報告がある。
"Grothnor, the most dreadful place in all Tahnra. You are certain this is the path for you?",グロスノー、ターンラで最も恐ろしいと呼ばれている土地ね。その判断に確信はあるの？
"Just an instinct for now. As you know, I have a hard time ignoring that.",ただの本能さ。そして、もはやそれを無視するのは難しくなっている。
...Then I will enjoy slaying what ever abominations may threaten you along the way.,...なら、私はその途上であなたを脅かすものを、ことごとく倒してあげるわ。
"...\| You're coming with me?\| That's... the best I could possibly wish for, but what about...",...\|それは、同行したいと言う意味か？\|それは...とてもありがたい申し出だが、母国の...
"My mind is settled. My country, my homeland...\| it has meant everything to me. But it is doomed in a rapidly-changing future that will leave it behind.\! The irony is clear to me, that I spent my life to preserve tradition, and now see it as Sayunaa's greatest weakness.\! My people must embrace the outside world. And if my journey into the unknown can be a small part of that, so be it.",もう決めたの。故郷は...\|私のすべてだった。でも、それは今や急速に変化する未来に置き去りにされ、取り残される運命にある。\!私は伝統を守るために人生を費やしてきた。皮肉なことに、今ではそれがサユナーの最大の弱点であることが、はっきりと見てとれるの。\!我が民は、外の世界を抱擁しなくてはならない。この未知への旅が、後々少しでもそのきっかけになるとしたら、それだけでも意味があるわ。
...Oh.,...そうか。
"Oh, \n[8], you know that expressing those feelings is not easy for me...\| Please, just...",ええ、\n[8]。本当はこれを言うのは、\|とても心苦しいのだけどね...
"Narima...\| it wasn't Grothnor that scared me.\| It was not being able to see your face, and for its memory to fade with time.\! As long as I'm with you, it feels like all the world's terrors can't even phase me.",ナリマ...\|本当に怖いのは、グロスノーじゃないんだ。\|それは、君の顔を見れず、その記憶が時と共に薄れていくことだ。\!でも、君と一緒にいる限り、この世界のどんな恐怖だって乗り越えていける。
"I feel the same, \n[8].",私もよ、\n[8]。
"Time to head off then, hero of Sayunaa. Let's forge that future.",なら、行こう。サユナーの英雄よ。一緒に未来を創ろう。
