ENGLISH,JAPANESE
"\c[1]Casamir enjoys great popular support by making grand promises to the public, to progress the country beyond the shackles of the nobility, and to spread their ill-gotten wealth.\! Now able to link the Donari Temple to the Empress's murder, he had all the justification he needed to carry out his vengeance on the Temple.",\c[1]カサミールは、「貴族という特権階級から国を取り戻し、彼らが不正に得た富を国民に返す」という公約を掲げることで、民衆の大いなる支持を集めた。\!また、女帝殺害の罪をドナー神殿になすりつけた今、彼は「神殿への報復」を実行するための完全な大義名分を手にしていた。
\c[1]With help from Duke Lothair and the Army of Isanter...,\c[1]しかし、イサンテルのロザイア公爵の援護と...
\c[1]...And the defection by Imperial General Lysander...,\c[1]...ライサンダー将軍の離反もあり...
\c[1]...The attack on Lemelin failed in a humiliating defeat.,\c[1]...カサミールのレメリン攻撃は、屈辱的な敗北に終わった。
"\c[1]Duke Terenor of Rimorgue. He has not taken the Empress's murder lightly.\! After weeks of persuasion by Prime Minister Casamir, Terenor reluctantly agrees that the time to take action against Lothair and the Temple is now.\! Terenor marches his army into Lothair's territory, marking the beginning of the Veridian Civil War...",\c[1]一方のリモーグのテレノール公爵も、女帝の殺害を軽々しく受け止めていなかった。\!カサミールによる数週間もの説得の後、テレノールはロザイアと神殿に対して行動を起こすことに同意する。\!テレノールは軍をロザイアの領地に向かわせ、ここにまた、新たなベリディア内戦が幕を開けるのだった...
"\c[1]The West, which includes the Duchy of Isanter and the Donari Temple...",\c[1]イサンテル公国とドナー神殿を含む西部地方は...
"\c[1]Against the East, comprised of the Duchy of Rimorgue, and the Imperial government.",\c[1]リモーグ公国と帝国政府からなる東部と対峙することになる。
"\c[1]Terenor's much more powerful army takes the offensive, and seizes the Isanter city of Trucea.\! They now prepare for an assault on Isanter's capital city.",\c[1]初戦では、物量で上回るテレノールの大軍が、イサンテルの都市トルセアを占領した。\!そして彼らは現在、イサンテルの首都を攻撃する準備を進めている。
"\c[1]If Isanter were to fall, the Temple would be next.\! And with its collapse, Casamir may become unstoppable.",\c[1]そこが陥落すれば、次に狙われるのは間違いなく神殿である。\!そうして西部が敗北すれば、カサミールに対抗できる者はもはやいなくなるだろう。
"\c[1]Diana and \n[8] prepare for war, and set out to stop the city of Isanter from falling into enemy hands.",\c[1]ダイアナと\n[8]は、来るべき戦への準備を整えると、イサンテルへの侵略を阻止するため、進軍を始めるのだった。
