ENGLISH,JAPANESE
Granheim Abbey is just over those mountains. It is a Donari Temple outpost.\! We will be safe there.,グランハイム修道院は山の向こうにある。そこは、ドナー神殿の前哨基地だ。\!そこに行けば、ひとまず安全を確保できるはず。
"Please keep moving. If the cold does not take us, enemy patrols will.",休まずに進もう。もたもたしては、寒さか追手のどちらかにやられるだけだ。
Am I the only prisoner you found alive?,それで、救出した囚人は私だけなのか？
"Sorry, friend. You're it.",ああ、残念ながらな。お前さんが唯一の生存者だ。
Zelos...,ゼロス...
He was with me before they took me.\! He fought to save my life.,やつらに捕らわれるまでは一緒だったのに。\!彼は身を挺して私を守ってくれた。
Our enemy is clever and elusive.\! It is possible that your friend was taken elsewhere.,敵は巧妙な策士だ。\!おそらく、その友人は別の場所に送られたのだろう。
...What enemy?,...敵？
"Long story, friend.\! We'd best be headin', though. Askin' for a bit of trust here.",それを話すとちょいと長くなる。\!今は黙って先に進んだ方がいい。まあ、ちょっとばかし俺たちのことを信じてくれや。
Of course...,わかった...
