ENGLISH,JAPANESE
"Well met, Sergeant Barnabas! I am honored to fight alongside such a legend.",はじめまして、バルナバス軍曹！あなたのような生ける伝説と戦えるなんて、本当に光栄です！
"Aww, get outta here, I ain't a legend at nothin'. Nice to hear anyhow.",おお、よせやい。俺が何の伝説を作ったってんだ。まあ、その気持ちはうれしいがな。
"Begging your pardon, but you have such a strange way of speaking.\! The grammar and sentence structure seems... so free.",ところで、失礼かもしれませんが、発音に結構訛りがあるように感じますが...\!それに何というか...すごく自由なしゃべり方をするというか...
"""Free"" eh? Heh heh heh...\! Kiddo, not everyone talks all fancy-like, as they do at the Academy.\! Where I come from, good ole' Melmonde, everyone sounds like me!\! Y'ain't never heard someone from the countryside before?",「自由」なあ？ヘッヘッヘ...\!みんながみんな、士官学校で教わったような四角四面なしゃべり方をするわけじゃねえんだぜ。\!それに俺は、メルモンデ地方の出身だ。だから、その古き良き訛りが混じっちまうのさ！\!お前さん、この方言を聞くのは初めてなのかい？
Fascinating! What is this... Melmonde? You speak quite fondly of it.,ええ！なるほど...メルモンデ方言、か。なんだか優しそうでいい響きですね。
"Oh yeah. Ain't nothin' like home sweet home.\! Melmonde's a real nice town in the Rimorgue Valley that sprang up from a farmin' market for all the wheat 'n grapes goin in and out.\! I got a few bits 'a ranch land just outside 'a town. Been in the Fitch family for years - best darned horses in the Midlands, I tell ya.\! I treat 'em like I would my own flesh 'n blood.",そうとも。俺にとっても、故郷の訛りより耳障りのいいモンなんてねえさ。\!メルモンドはリモーグ渓谷にある平和な田舎町で、小麦とブドウの栽培で栄えてる場所さ。\!かくいう俺も、街外れに牧場を持ってて、そこで何年も稼業を手伝ってたんだ。あそこの馬は帝国一って評判なんだぜ。\!俺ももう、精一杯の愛情を注いで育てたもんだ。
"It sounds... so peaceful. What a happy life you seem to have, Sergeant Barnabas.\! How noble you must be to leave it behind to serve this country.",なんだかとても...素敵な暮らしですね。幸せな人生を送ってきたようで、うらやましい。\!なのに、その生活を捨ててまでまた母国のために仕えるだなんて...
"Appreciate the kind words, but it ain't like that.\! When I put my horses in for the night, 'n look at my land, always a thought in the back 'a my mind... someone's fittin' to take it all away.\! Guys like me can't rest, not in times like these.\! If ole' Barnabas kicks off early, I got plenty of cousins who'd take real good care of the Fitch Farm.\! But ain't none of 'em can handle a war horse like me. So I gotta do it, kiddo.\! Know what I'm sayin'?",えーっとな、実はそういうわけでもねえんだ。\!ある時、馬を寝かせてから牧場を眺めて、ふと思ったのさ。「何かが足りない」ってよ。\!俺のような男は、たぎる血をいつまでも抑えられねえんだ。特に、今の世が乱れそうな空気の中じゃな。\!それに、この老兵バルナバスが戦場に赴いたところで、牧場の世話をする親戚は山程いる。\!だが、俺より馬を乗りこなせる野郎は1人もいねえ。それがここに戻った答えさ。\!ま、そういうこった。
"I understand... from a certain point of view.\! I cannot say I have much that makes me feel this way. There is my sister, but she is fiercely independent and does not need my protection.\! I value...\| life itself. I feel grateful to be given the gift of the senses, that I may take in Tahnra's splendor.\! And the gift of friends most of all.",なるほど...よくわかりました。\!正直、僕があなたならそんな簡単に決断できません。僕には妹がいますが、独立心旺盛なタイプで、守ってやる必要はありません。\!ただ、僕は...\|正直、自分の命をあなたほどぞんざいには扱えません。ターンラの美しい自然美を感じる喜びがありますし、\!かけがえのない友達もいますから。
"Whatever floats 'yer boat, kiddo.\! We all need somethin' to keep the ole heart tickin'!\! Be safe out there, eh?",なるほど。まあ、お前さんの価値観がなんにしろ、だ。\!人生にはワクワクも必要なのさ。いくつになってもな。\!だから、安全に気を付けつつ、危険を楽しみな。
