ENGLISH,JAPANESE
"\c[1]Interesting.\! You really think it was a good idea coming here, do you?",\c[1]自分での言うのもなんだが、少し予想外だったな。\!ここに来たらどうにかなるとでも思ったのか？
I-I... guess I saw something different about you.\! Any of the others...,し...しかし...あなたは他の者たちと違う。話せばわかってくれる人だ...\!あなただけは...
Any of the others would've killed you on sight.\! I sincerely hope for your sake that you have an answer for me.,そうだな、他の者ならお前の顔を見た瞬間に殺していたはず。\!さて、これから少し話をしよう。その際だが、くれぐれも誠実な物言いを心がけておくれ。
I... I understand.,わ...わかりました。
"While your interpretation of the texts is somewhat rudimentary, I believe it to be correct.\! Well...\| correct enough for your purposes.",あなたの古文書への解釈は、あくまでも基礎レベルですが、大筋は正しいと思います。\!まあ...\|方向性としては合っているでしょう。
"If I am ""correct enough"", then how best to act on this information?\! That said, it disturbs me that you were willing to risk your life to come here.\! I know you have much to gain.",「方向性としては合っている」なら、どう行動するのが最善だと言うのだ？\!お前が命を危険にさらしてでもここに来るのを選んだのも、少し引っかかる。\!向こう側からそれなりの報酬を約束されていただろうに。
"B-begging your pardon, but we are not so different!",お、お言葉ですが、その点はあなたも変わらないのでは！
"Except that you serve a mad cult, and are so blinded by the promise of reward that you let yourself get kicked around like a dog.\! I will not be following that path, Jebediah.",...そうかもしれない。まあ、狂ったカルト教団に仕え、報酬に欲目がくらみ、犬のように服従したりはしないがな。\!私はそのように誇りを売り渡す男ではないぞ、ジェブディア。
"Our business is done.\! Leave, following my exact instructions.\! One deviation will likely be your last mistake... and mine.",まあいい、話は終わった。\!行け、そして手筈通りにやるのだ。\!覚えておけ。たった1つでも手違いがあれば、私もお前も死ぬことになる。
D-do not waste this chance to make things right...,ええ、世を正す最後のチャンスです。ぬかるようなことは絶対にしません...
"Any of the others would've killed you on sight.\! And if you don't have a good answer for me, they'll know you're here.",そうだな、他の者ならお前の顔を見た瞬間に殺していたはず。\!もし納得のいく答えをよこさないならば、どうなるかはわかっているだろう...
Except that you are so blinded by the promise of reward that you let yourself get kicked around like a dog.\! I will not let that happen to me.,...そうかもしれない。まあ、狂ったカルト教団に仕え、報酬に欲目がくらみ、犬のように服従したりはしないがな。\!私なら、そんな真似は死んでもしない。
Our business is done.,まあいい、話は終わった。
I know you feel alienated by the Nephilim.\! They do not deserve the power they wield.\! But just...\| just please don't hurt my Beatrix...,あなたが今、ネフィリム軍で疎んじられていることは知っています。\!あの連中は、あのような偉大な力を持つに値しません。\!ただ、お願いです...\|何があってもベアトリクスだけは殺さないでください...
...\| Pardon me?!,...\|なんだって！？
Please...,そ、その...
"...""Your"" Beatrix?\! What, do you think you can win over that unhinged harpy by coming to her rescue?",...「ベアトリクスだけは」？\!あの奔放なじゃじゃ馬娘の命を救えば、己のものにできるとでも？
"Go home, Jebediah. You poor, misguided soul.",話は終わりだ。帰れ、ジェブディア。狐火を追う哀れな男よ...
