ENGLISH,JAPANESE
Seems like they've put all their hopes in Stormrook's defense.\! Could we be the first in a thousand years to conquer Stormrook Castle from the east?,どうやら敵は、ストームルークの防衛に最後の望みを託しているようです。\!東からストームルークの制圧を狙うのは、この千年で初めてのことでしょう？
Victory over Casamir is all but inevitable. The challenge will be to minimize casualties during this difficult final stretch.,ああ、だがカサミールの敗北は、もはや揺らがぬ結末だろう。むしろ我々の課題は、この難しい攻防戦で、いかに死傷者の数を抑えるかということだ。
What gives? Aren't you looking forward to taking that weasel off the throne?,どうしたんです、浮かない顔をして？あの小悪党を、もうすぐ玉座から引きずり下ろせるんですよ。
"These are the homelands of the Empire, and the people may not desire our presence as others have.\! However, the unfortunate truth is that the war will not end as long as Casamir lives...",これより進むのは、帝国の心臓部と言える地域だ。他とは違い、領民は我々を歓迎しないかもしれない。\!ただ、不幸な事実としては、カサミールが生きている限り、この戦争は決して終わらないのだ...
Nothing could stand between my blade and Casamir's throat.,カサミールの喉に刃を突き立てるその時まで、誰も邪魔はさせません。
"My own desire for revenge aside, Beatrix says that the last Nephilim shrine is inside the Imperial Palace.\! She hasn't been wrong yet...",まあ、個人的な復讐はさておき、ベアトリクス曰く、最後のネフィリムの祠は帝国の宮殿の中にあるそうです。\!今までの情報はすべて合っていたし、これも正しいと見て間違いないでしょう。
\n[8]...\| I need you to listen.\! You should not claim the last divine weapon...,\n[8]...\|少し聞いておくれ。\!最後の武器を手に入れてはならない..
...Why not??,...どうしてです！？
"I see the way you Nephilim act around those shrines.\! You are hypnotized.\! A voice calling out to you, compelling you to seize your destiny.\! It is unsettling, and I am not the only one who has noticed.\! If the purpose of finding these weapons is to defeat Casamir, what use is pursuing the Lightfury if you must defeat him to get it?",君たちネフィリムが、祠で何をしているかはわかっている。\!はっきり言おう、君は洗脳されている。\!運命を変えるように囁く、その声の主にな。\!不都合な真実だが、気づいたのは私だけではない。\!君の最終目標が打倒カサミールなら、やつを倒した後にライトフューリーを求めて何の意味がある？
"I was once a street urchin, begging for a small piece of bread.\! But look what I've built for myself now.\! You'd have me abandon this path?",私はかつて、家を持たず、道行く人に物乞いをして生きる孤児でした。\!でも、見てください。そんな人間がここまでになったんですよ。\!なのに、これまでの道のりを、運命の導きを否定しようと言うのですか？
"You provoked us into a war with Sayunaa, \n[8]...\| And now flirt with the role not of liberator, but conqueror...",\n[8]よ、君はこの前、我々がサユナーと戦うようにけしかけただろう...\|君は今、正義の解放者から恐怖の征服者に変わろうとしている...
"It may have been in a former life, but I still remember. I still hear the sound of Casamir's guns as they tore my body to shreds.\! I still remember the roars of the crowd, cheering the execution of a traitor - my last sense before everything went black.\! ...And yet, I stand before you by the will of Donar. Perhaps the real \n[8] is still dead?\! What do you think, Lysander? Am I just some kind of divine artifice, a weapon sent to right Tahnra's wrongs?\! These questions torture me... every day. I have no other purpose than this, Lysander.",まだ...前世の記憶が残っているんです。カサミールの嘲り、けたたましい銃声、体に無数の穴が開く感覚...\!そして、「裏切り者」の処刑に歓喜する大衆の声。それからすべてが真っ暗になって...\!ただ、それでも今こうしてドナーの意志により、ここに立っている。ひょっとすると自分は偽物で、本物の\n[8]は死んでいるのかもしれません。\!あなたはどう思いますか、ライサンダー？私はただ、ターンラの過ちを正すために遣わされた、神の操り人形なんでしょうか？\!この問いが...毎日頭を駆け巡るんです。だからこの答えは...必ず見つけなければいけない。
"You swore to be my right hand. But it seems now, you would feel more at peace if you resigned from the Nephilim Army.",あなたはかつて、私の右腕になると言いましたね。でも、どうやら今はネフィリム軍を離脱したいのが本心のようだ。
...\| Is that what you want?,...\|むしろそれは、君の本心ではないのかな？
"Please, I know you better than that. You choose your own path.",あなたがどういう人かはわかっていますし、これからも信じたいと思っています。ただ、今後どの道を進むかは、ご自身で決めてください。
"...Casamir must be destroyed, for the good of Tahnra. Only you have the power to do so...",...ターンラの未来のためにも、カサミールは倒さなければならない。それができるのは、君だけだ...
"Let us put an end to this war together, \n[8]...",共に力を合わせ、この戦争を終わらせよう、\n[8]...
We will. Just hold out a little longer...,もちろんです。そして、その日はもう遠くない...
