ENGLISH,JAPANESE
"\c[1]Embor Palace, throne room of Duke Jaromir\c[0]",\c[1]エンボー宮殿、ジャロミール公爵の玉座の間\c[0]
"Ah... we finally meet.\! The Duchy of Embor is restored, thanks to...",ああ...来たか。\!エンボー公国をついに取り戻した。
By the Avatars...,すべては...
You are...,あなたのおかげだ...
\n[8].\! I take it you are Duke Jaromir?,名は\n[8]と申します。\!あなたがかのジャロミール公爵ですね？
"What the...\| Guess I look the part, huh?",な...\|一体何のつもりです？
"Donar stands before me.\! How can I not kneel before you?!\! You are here, more than just a myth or a legend...\! This is the foremost moment in my life...",目の前にいるのは、ドナーの化身だ。\!そんな者を前にして、跪かずにいられるのか！？\!しかもこれは、神話や伝説の話ではないのだ...\!まさか我が人生に、このような瞬間があろうとは...
"Alright, alright, let's just be people here...",すまないが、普通に人として扱ってもらえないか...
"You have come to our world to destroy evil.\! There is no other possibility... please, allow me to join the ranks of your army, holy Donar...",あなたは世にはびこる邪悪を打ち倒すために降臨された。\!それ以外の可能性などありえない...ゆえに聖ドナーよ、この私をあなたの軍に加え、剣として盾として、お使いください...
"I don't have much of an army yet.\! But I know there are many people out there just like you, waiting for the opportunity to strike back.",まだ、軍と言えるほどの規模ではないのだがな。\!だが、あなたと同じように、反撃の機を伺っている者は数多くいるはずだ。
"It's quite a risk, the Empire's going to want your hide...",しかし、その決断には危険も伴う。帝国に狙われることになるだろうし...
"My lands, my resources, and my own blade are at your disposal, holy Donar.\! My soldiers are the most resolute in all of Veridia.\! Please, give us our divine mission at once!",我が土地も、資源も、兵力も、すべてあなたのものでございます、聖ドナーよ。\!そして我が軍は、ベリディアで最も猛き決意を持った者たちであります。\!さあ、今すぐ我らを神の大義に加えてください！
"Please don't bow to me.\! We're not the Empire, we're the free people of Veridia.\! Let's see what the famed warriors of Embor can do on the battlefield!",頼むから、そんな仰々しい態度はやめてくれ。\!私はただ、帝国の支配を崩し、ベリディア人を解放することを願っているだけだ。\!それはともかく、名高きエンボーの戦士たちが戦場で何をできるのか、これから披露してもらおうじゃないか！
